ID,TITLE,CONTENTS,NEWSDAY,IMAGE,COMPANY
59,"판매량 줄어도 영업익 질주…기아 ""4분기엔 月 1조 수익""","기아가 올해 3분기 2조 8000억 원에 달하는 영업이익을 달성하며 3분기 기준 역대 최대 실적을 기록했다. 고부가가치 차량 판매가 늘..
										 
|",2024-10-25 16:37:12,C:\gitmain\scrap\images2\판매량 줄어도 영업익 질주…기아 4분기엔 月 1조 수익.png,서울경제
60,"백종원, 2990억 '돈방석'… 더본코리아 공모가 3만4000원 확정","밴드 상단 초과확정…28일부터 청약 돌입 공모가 기준 시가총액 4918억원 하반기 기업공개(IPO) 대어로 꼽힌 더본코리아의 상장 공모..
										 
|",2024-10-25 16:36:15,"C:\gitmain\scrap\images2\백종원, 2990억 '돈방석'… 더본코리아 공모가 3만4000원 확정.png",더팩트
61,"최윤범 고려아연 회장, 영풍 지분 전량 매도","최윤범 고려아연 회장을 포함한 최씨 일가가 영풍 지분을 모두 처분했다. 고려아연 경영권 분쟁을 계기로 영풍과의 동업 관계가 사실상 끝나..
										 
|",2024-10-25 16:31:19,"C:\gitmain\scrap\images2\최윤범 고려아연 회장, 영풍 지분 전량 매도.png",한국경제
62,"슈퍼리치 삶은 이런 것?…테슬라 덕 본 머스크, 하루만에 46조 벌어","테슬라 주가가 11년 만에 가장 큰 폭으로 오르면서 세계 최고 부자인 일론 머스크 테슬라 최고경영자(CEO)의 자산이 하루 만에 335..
										 
|",2024-10-25 16:28:23,"C:\gitmain\scrap\images2\슈퍼리치 삶은 이런 것…테슬라 덕 본 머스크, 하루만에 46조 벌어.png",아시아경제
63,"""하이닉스 반토막 날 것"" 모건스탠리…한달 만에 ""우리가 틀렸다""","‘반도체 겨울’을 전망했던 모건스탠리가 SK하이닉스(000660)에 대한 목표주가를 올리면서 자신들의 평가가 틀렸다고 인정했다. 다만 ..
										 
|",2024-10-25 16:26:12,C:\gitmain\scrap\images2\하이닉스 반토막 날 것 모건스탠리…한달 만에 우리가 틀렸다.png,이데일리
64,"KB금융, 호실적에 주주환원 기대감까지…사상 최고가 찍었다","KB금융 주가가 올해 3분기 호실적과 밸류업 기대감에 힘입어 급등 마감했다. 25일 KB금융은 전 거래일 대비 7800원(8.37%) ..
										 
|",2024-10-25 16:23:09,"C:\gitmain\scrap\images2\KB금융, 호실적에 주주환원 기대감까지…사상 최고가 찍었다.png",조선비즈
65,"'실적 훈풍' 타고 SK하이닉스, 시총 비중 6% 육박","'시가총액 비중 2인자' SK하이닉스가 1위 삼성전자와 격차를 빠르게 좁히고 있다. 연초 4%대였던 SK하이닉스의 시총 비중이 6% 가..
										 
|",2024-10-25 16:22:25,"C:\gitmain\scrap\images2\'실적 훈풍' 타고 SK하이닉스, 시총 비중 6% 육박.png",파이낸셜뉴스
66,"한미반도체, 373억원 규모 자사주 소각 결정…""주주가치 제고""","한미반도체는 주주가치 제고를 위해 보유 중인 자사주 37만9천375주를 소각하기로 했다고 25일 공시했다. 소각 예정 금액은 약 373..
										 
|",2024-10-25 16:21:07,"C:\gitmain\scrap\images2\한미반도체, 373억원 규모 자사주 소각 결정…주주가치 제고.png",디지털타임스
67,"고려아연 임원들, 공개매수 기간 지분매입…공시의무 위반","고려아연 임원들이 MBK·영풍 연합의 공개매수와 자기주식 공개매수 기간 중 자사주를 취득하고서 뒤늦게 지분 취득 사실을 공시했다. 이들..
										 
|",2024-10-25 16:19:09,"C:\gitmain\scrap\images2\고려아연 임원들, 공개매수 기간 지분매입…공시의무 위반.png",아이뉴스24
68,‘천당과 지옥’ 오간 영풍정밀…25% 급등하다 영풍·MBK ‘기권’에 13% 급락 [투자360],"고려아연 경영권 분쟁이 장기화 될 것이라는 전망에 급등하던 영풍정밀이 영풍·MBK파트너스 연합의 기권 선언 이후 장중 25% 급등하다 ..
										 
|",2024-10-25 16:16:16,C:\gitmain\scrap\images2\‘천당과 지옥’ 오간 영풍정밀…25% 급등하다 영풍·MBK ‘기권’에 13% 급락 [투자360].png,헤럴드경제
69,"신한금융, 증권 파생상품 사고에 3분기 순익 13% 감소","신한금융그룹 당기순이익이 전분기 대비 급감했다. 증권 계열사에서 대규모 파생상품 운용 손실이 발생한 여파다. 25일 신한금융그룹은 3분..
										 
|",2024-10-25 16:16:16,"C:\gitmain\scrap\images2\신한금융, 증권 파생상품 사고에 3분기 순익 13% 감소.png",한국일보
70,"코스피, 2580선 마감 '반등 실패'… 외국인 3800억원 '팔자'","반등을 시도했던 코스피가 외국인의 매도세에 약보합으로 마감했다. 25일 한국거래소에 따르면 이날 코스피는 전 거래일 대비 2.24포인트..
										 
|",2024-10-25 16:12:34,"C:\gitmain\scrap\images2\코스피, 2580선 마감 '반등 실패'… 외국인 3800억원 '팔자'.png",머니S
